file_path,L_M_avg_HH_dist,L_M_avg_OO_dist,L_M_avg_OH_dist,L_M_avg_HO_dist,L_M_count_HH,L_M_count_OO,L_M_count_OH,L_M_count_HO,L_M_sum_of_count,M_U_avg_HH_dist,M_U_avg_OO_dist,M_U_avg_OH_dist,M_U_avg_HO_dist,M_U_count_HH,M_U_count_OO,M_U_count_OH,M_U_count_HO,M_U_sum_of_count
d:\New folder\project\results\3_layer\lower\r20\t6.0\t6.0_280_grid3.cif,2.448922303317648,2.888551465476601,2.7223745749740442,2.3962588360161163,4,4,4,8,20,2.436923749469762,2.584642981042102,2.0138499004171866,2.1679060164812562,4,4,4,8,20
d:\New folder\project\results\3_layer\lower\r20\t6.0\t6.0_320_grid2.cif,2.3043772463125487,2.7645619935642567,2.2821077786767723,2.3503285484070506,9,11,10,20,50,2.328147207206283,3.0,2.597422752199857,2.6815250856481407,6,0,4,2,12
d:\New folder\project\results\3_layer\lower\r80\t1.2\t1.2_280_grid1.cif,2.17659508160491,2.9133891072182934,2.115246063407365,2.2471331485713852,10,15,14,22,61,2.282608933111775,2.9008293132379466,2.093983014560454,2.6155072664437466,2,2,2,4,10
d:\New folder\project\results\3_layer\lower\r80\t1.2\t1.2_320_grid1.cif,2.2258311828797246,2.716665720441802,2.208617068256346,2.312649480191129,12,13,12,25,62,2.282608933111775,2.9008293132379466,2.093983014560454,2.6155072664437466,2,2,2,4,10
d:\New folder\project\results\3_layer\lower\r80\t1.2\t1.2_320_grid2.cif,2.332781295245611,2.7660195171138926,2.1903845145902276,2.281237390170093,14,11,6,25,56,1.7794176920800133,2.8031584769429836,1.98538817401143,2.102107432037082,4,2,2,2,10
d:\New folder\project\results\3_layer\lower\r80\t1.2\t1.2_340_grid0.cif,2.3578823146048347,3.0,2.1614752696916972,3.0,6,0,10,0,16,1.7703773415419113,3.010013049544349,3.0,2.097080851014784,2,4,0,8,14
d:\New folder\project\results\3_layer\lower\r80\t1.2\t1.2_340_grid1.cif,2.2700283371815213,2.8038865619582993,2.211207413827553,2.305160729892727,14,15,15,18,62,1.7752005120457053,2.9008293132379466,2.029814659626071,2.399336516029066,4,2,2,4,12
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_80_grid0.cif,2.2349995655734785,3.0,1.9574697165918513,3.0,6,0,12,0,18,2.430207346832344,2.9836067067020826,2.6139383977669266,2.0581875326550825,2,4,3,6,15
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_80_grid2.cif,2.1026817918448346,2.839184358893249,1.9245300629796993,1.8158619621961716,4,9,10,8,31,2.3948106382854073,2.773875481646562,2.0514095099193694,2.386517681007534,6,4,4,6,20
d:\New folder\project\results\3_layer\lower\r80\t2.4\t2.4_80_grid3.cif,2.3852251145761647,3.0309630474175218,2.546230409945773,2.3528613641437337,9,7,10,9,35,2.180663370260343,2.945992455776595,1.9678706362359308,2.2828898940952,6,6,7,10,29
