file_path,avg_HH_dist,avg_OO_dist,avg_OH_dist,avg_HO_dist,count_HH,count_OO,count_OH,count_HO,sum_of_count
d:\New folder\project\data\r0\t9.6\t9.6_140.cif,2.055510053791706,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t9.6\t9.6_160.cif,2.1219656612431637,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t9.6\t9.6_180.cif,2.489451955703979,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t9.6\t9.6_20.cif,3.0,3.0,3.0,2.6292106890603937,0,0,0,2,2
d:\New folder\project\data\r0\t9.6\t9.6_200.cif,2.3057681973452864,3.0,2.6078605732394164,3.0,2,0,2,0,4
d:\New folder\project\data\r0\t9.6\t9.6_220.cif,3.0,3.0,2.453092617136878,3.0,0,0,2,0,2
d:\New folder\project\data\r0\t9.6\t9.6_240.cif,2.4194549454282375,3.0,2.388499236154577,2.722009801396598,3,0,2,2,7
d:\New folder\project\data\r0\t9.6\t9.6_260.cif,2.0154099521855224,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t9.6\t9.6_280.cif,2.2806558032953044,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t9.6\t9.6_300.cif,2.066741310755482,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r0\t9.6\t9.6_320.cif,2.2563095971649325,3.0,2.5349403228753493,3.0,2,0,2,0,4
d:\New folder\project\data\r0\t9.6\t9.6_340.cif,2.4860073104416296,3.0,2.4480244494695462,2.2776598473145553,2,0,2,2,6
d:\New folder\project\data\r0\t9.6\t9.6_40.cif,3.0,3.0,3.0,2.3390748137579376,0,0,0,2,2
d:\New folder\project\data\r0\t9.6\t9.6_60.cif,3.0,3.0,3.0,2.3399089098271553,0,0,0,2,2
d:\New folder\project\data\r0\t9.6\t9.6_80.cif,3.0,3.0788513054654816,3.0,2.650065654055417,0,2,0,2,4
d:\New folder\project\data\r20\t0\t0_0.cif,2.419447606916169,3.0,2.8213971382328387,2.2818601873342965,2,0,4,2,8
d:\New folder\project\data\r20\t0\t0_100.cif,3.0,3.147485562455028,3.0,3.0,0,1,0,0,1
d:\New folder\project\data\r20\t0\t0_120.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t0\t0_140.cif,2.277130192562742,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t0\t0_160.cif,2.4075856726848954,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t0\t0_180.cif,2.4784486504470746,3.0,2.8168431622239596,3.0,1,0,2,0,3
d:\New folder\project\data\r20\t0\t0_20.cif,2.3339342959887315,3.0,3.0,2.5472238974503023,2,0,0,2,4
d:\New folder\project\data\r20\t0\t0_200.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t0\t0_220.cif,2.423087780034008,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t0\t0_240.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t0\t0_260.cif,2.315161069473373,3.0,3.0,3.0,2,0,0,0,2
d:\New folder\project\data\r20\t0\t0_280.cif,3.0,3.0,3.0,3.0,0,0,0,0,0
d:\New folder\project\data\r20\t0\t0_300.cif,2.495352188682746,3.0,3.0,3.0,1,0,0,0,1
d:\New folder\project\data\r20\t0\t0_320.cif,3.0,2.8804830252710745,2.611429060883106,2.68466593348139,0,2,2,2,6
d:\New folder\project\data\r20\t0\t0_340.cif,3.0,2.9422919104997565,2.6663368585466363,2.732205654484476,0,2,4,2,8
d:\New folder\project\data\r20\t0\t0_40.cif,3.0,3.0,3.0,2.6130959696366944,0,0,0,2,2
d:\New folder\project\data\r20\t0\t0_60.cif,3.0,3.0,3.0,2.5377289648576897,0,0,0,2,2
d:\New folder\project\data\r20\t0\t0_80.cif,3.0,3.1416545535974643,3.0,2.688485879021006,0,2,0,2,4
d:\New folder\project\data\r20\t1.2\t1.2_0.cif,3.0,3.0,3.0,2.608008663471641,0,0,0,2,2
d:\New folder\project\data\r20\t1.2\t1.2_100.cif,3.0,3.095770600810095,2.6453403667578117,3.0,0,2,2,0,4
