file_path,Int1_avg_HH_dist,Int1_avg_OO_dist,Int1_avg_OH_dist,Int1_avg_HO_dist,Int1_count_HH,Int1_count_OO,Int1_count_OH,Int1_count_HO,Int1_sum_of_count,Int2_avg_HH_dist,Int2_avg_OO_dist,Int2_avg_OH_dist,Int2_avg_HO_dist,Int2_count_HH,Int2_count_OO,Int2_count_OH,Int2_count_HO,Int2_sum_of_count,Int3_avg_HH_dist,Int3_avg_OO_dist,Int3_avg_OH_dist,Int3_avg_HO_dist,Int3_count_HH,Int3_count_OO,Int3_count_OH,Int3_count_HO,Int3_sum_of_count
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_100_grid2.cif,2.413400004527239,3.0,2.1325867188649545,2.1734954822687644,4,0,2,2,8,2.3327812952456104,2.7660195171138917,2.190384514590223,2.2812373901700935,14,11,6,25,56,1.7794176920800138,2.803158476942992,1.9853881740114274,2.1021074320370836,4,2,2,2,10
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_100_grid5.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,2.176595081604913,2.913389107218291,2.115246063407367,2.2471331485713844,10,15,14,22,61,2.2826089331117743,2.9008293132379492,2.0939830145604574,2.6155072664437475,2,2,2,4,10
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_220_grid0.cif,2.1790402851684094,2.8349847796710113,2.0589931113473097,2.0770228289195565,12,14,14,16,56,2.370668224652732,2.7594387164507483,2.196536583315217,2.1917000404446485,8,11,12,15,46,1.7766460733286953,2.7842776401480314,2.3268549933636913,2.3210431587230573,2,8,8,4,22
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_260_grid0.cif,2.129363814541225,2.775985395433608,2.062112653208064,2.080482164289645,6,12,12,10,40,2.3397524548598936,2.716591622496282,2.335303364531046,2.3743654097343674,8,15,12,20,55,1.7794176920800138,2.803158476942992,1.9853881740114274,2.1021074320370836,4,2,2,2,10
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_260_grid2.cif,2.245479748154722,2.8054447507929834,2.320124133945179,2.3961789276472905,8,5,12,3,28,2.3327812952456104,2.7660195171138917,2.190384514590223,2.2812373901700935,14,11,6,25,56,1.7794176920800138,2.987890367998212,3.0,1.9323629412618955,4,4,0,8,16
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_260_grid5.cif,2.3513035670934865,3.0,2.3500412460556785,3.0,8,0,14,0,22,2.226373449592377,2.852477000322702,2.0577960208689596,2.2663166790215903,12,14,10,26,62,2.4981788510095697,3.010013049544347,2.3802371400040143,2.651927335928421,1,4,5,4,14
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_280_grid0.cif,2.1781301022861603,2.87565180136206,2.7221219058461363,2.1987456123936826,8,2,8,6,24,2.270028337181522,2.8038865619582993,2.211207413827557,2.3051607298927275,14,15,15,18,62,1.7752005120457,2.9008293132379492,2.02981465962607,2.3993365160290683,4,2,2,4,12
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_280_grid1.cif,2.0481851659984156,2.7484030065390774,2.5855939569889306,2.309013917397652,6,4,2,8,20,2.2258311828797255,2.7166657204418008,2.2086170682563466,2.3126494801911277,12,13,12,25,62,2.2826089331117743,2.9008293132379492,2.0939830145604574,2.6155072664437475,2,2,2,4,10
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_280_grid2.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,2.3327812952456104,2.7660195171138917,2.190384514590223,2.2812373901700935,14,11,6,25,56,1.7794176920800138,2.803158476942992,1.9853881740114274,2.1021074320370836,4,2,2,2,10
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_280_grid5.cif,3.0,3.0,3.0,3.0,0,0,0,0,0,2.176595081604913,2.913389107218291,2.115246063407367,2.2471331485713844,10,15,14,22,61,2.2826089331117743,2.9008293132379492,2.0939830145604574,2.6155072664437475,2,2,2,4,10
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_320_grid0.cif,2.2489317396681945,2.776126500658468,2.0410308784180664,2.128525440752508,13,8,15,14,50,2.4224325290544226,2.890871710831344,2.4704273005001722,2.3216866642701497,9,7,8,19,43,2.401673147494563,2.773005179072572,2.0444454654922306,2.2875888192620324,5,4,4,12,25
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_320_grid2.cif,2.333670327560104,2.7887282663659496,2.136124540054776,1.7020404931364173,7,7,17,6,37,2.1868818641712653,2.7898591118661376,2.0560432618358595,2.3301469047711443,10,10,4,27,51,2.401673147494563,2.967613068371525,2.266419030605485,2.3233870471625004,5,6,6,8,25
D:\New folder\project\results\4_layer\lower\r80\t1.2\t1.2_340_grid0.cif,2.348657989443317,2.746346552408936,2.056722300359286,2.037937154155214,9,15,17,18,59,2.4204746748578505,2.8819307142018546,2.3488760974757747,2.2733149503411805,12,9,5,22,48,2.3300034173096136,2.447874624578524,2.3048619943960587,2.5072571901516656,6,4,7,8,25
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_80_grid0.cif,2.251766722498903,3.025441571495415,2.0471663772722124,2.3627473636709544,11,4,11,8,34,2.262542385320467,2.887516854088049,2.082007395224128,2.6207781448625265,2,2,2,4,10,2.4253882762958665,2.8076454394693497,2.268056513042985,2.1793701139938024,6,8,13,13,40
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_80_grid1.cif,2.2376598452796865,3.0,2.0455041130585525,3.0,6,0,12,0,18,2.430207346832349,2.9836067067020897,2.613938397766928,2.0581875326550887,2,4,3,6,15,2.112271005951033,2.991071496405597,2.3590700675994856,2.0857385236076773,4,3,4,5,16
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_80_grid2.cif,2.3368759289796004,2.808648365006668,1.9290451253361602,1.924211371173776,3,7,10,7,27,2.361094498115488,2.9495758879238214,2.2562548555019077,1.8610821473120285,4,6,6,4,20,2.353036788927494,2.991071496405597,1.7806297371850723,3.0,4,3,8,0,15
D:\New folder\project\results\4_layer\lower\r80\t2.4\t2.4_80_grid5.cif,2.1026817918448386,2.8391843588932506,1.9245300629797015,1.815861962196172,4,9,10,8,31,2.394810638285404,2.7738754816465594,2.0514095099193637,2.386517681007533,6,4,4,6,20,2.322851408966175,2.8488313414691078,1.9575547519263825,2.2011921860709887,6,10,10,14,40
