file_path,Int1_avg_HH_dist,Int1_avg_OO_dist,Int1_avg_OH_dist,Int1_avg_HO_dist,Int1_count_HH,Int1_count_OO,Int1_count_OH,Int1_count_HO,Int1_sum_of_count,Int2_avg_HH_dist,Int2_avg_OO_dist,Int2_avg_OH_dist,Int2_avg_HO_dist,Int2_count_HH,Int2_count_OO,Int2_count_OH,Int2_count_HO,Int2_sum_of_count,Int3_avg_HH_dist,Int3_avg_OO_dist,Int3_avg_OH_dist,Int3_avg_HO_dist,Int3_count_HH,Int3_count_OO,Int3_count_OH,Int3_count_HO,Int3_sum_of_count,Int4_avg_HH_dist,Int4_avg_OO_dist,Int4_avg_OH_dist,Int4_avg_HO_dist,Int4_count_HH,Int4_count_OO,Int4_count_OH,Int4_count_HO,Int4_sum_of_count
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_100_grid5.cif,2.474522417788675,3.044592988141934,2.644477064425406,2.2590201241778924,4,4,2,10,20,2.2422730887979125,3.0030445932356256,2.2160038096944707,2.386051706529112,12,7,13,6,38,2.249827110715027,2.9281648308546386,2.073962959691314,2.050751175246691,8,6,8,12,34,2.45065689527262,2.8945510686218254,2.0906997604710353,2.3990935702969187,4,2,2,4,12
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_200_grid0.cif,2.405723690478406,3.044592988141934,2.644477064425406,2.373555909300141,4,4,2,4,14,2.2271168343017687,3.054471865000706,2.396166503344455,2.247174818538625,14,5,13,9,41,2.3210999252786113,2.919221385337662,2.187458683169644,2.1909854094614483,12,7,7,10,36,3.0,3.0,2.1965544039076366,3.0,0,0,5,0,5
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_200_grid1.cif,2.4209160882096206,2.4766330643469963,2.1496878954219687,2.2744406962168258,2,6,7,9,24,2.3717874576410476,2.776244142625797,2.028435415343749,2.1635925729037284,4,7,14,6,31,2.363619271869554,2.826016564392643,2.2879204787854386,1.9511114742612972,10,4,8,3,25,2.4081475539038144,2.267544087811585,2.384901758643369,2.3365181587266193,6,4,5,11,26
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_200_grid2.cif,2.213294844535224,3.0291399930393133,1.9931380660844593,2.254398589270174,8,9,8,10,35,2.2732516624503485,2.9281648308546386,2.4707951704551054,1.8047531813046789,14,6,6,14,40,2.424773714711354,2.8945510686218254,2.0906997604710353,2.244878102116798,2,2,2,8,14,2.4200559372279407,3.049947295862287,2.0467987618421395,2.239743940926295,8,8,14,14,44
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_200_grid4.cif,2.474522417788675,3.044592988141934,2.644477064425406,2.2590201241778924,4,4,2,10,20,2.2422730887979125,3.0030445932356256,2.2160038096944707,2.386051706529112,12,7,13,6,38,2.2498271107150254,2.9130298391446727,1.852959065443357,2.076938702485667,8,8,6,12,34,2.424773714711366,2.9094106665880415,2.24364792713052,2.33478704236407,4,6,9,14,33
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_200_grid6.cif,2.4209160882096206,2.4766330643469963,1.8891803530043052,2.1578787261916146,2,6,9,5,22,2.3717874576410476,2.893295685979298,2.0656368796430993,2.207055032805665,4,6,15,4,29,2.4195505506348534,2.826016564392643,2.5035965015701462,2.2940559595157084,8,4,7,6,25,2.253316478337444,2.2675440878115882,2.587361137218276,2.3000339518073534,4,4,4,12,24
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_220_grid0.cif,2.405723690478406,3.044592988141934,2.644477064425406,2.373555909300141,4,4,2,4,14,2.2271168343017687,3.054471865000706,2.396166503344455,2.247174818538625,14,5,13,9,41,2.3210999252786113,2.919221385337662,2.187458683169644,2.1909854094614483,12,7,7,10,36,3.0,3.0,2.1965544039076352,3.0,0,0,5,0,5
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_220_grid6.cif,2.4209160882096206,2.4766330643469963,1.8891803530043052,2.1578787261916146,2,6,9,5,22,2.3717874576410476,2.893295685979298,2.0656368796430993,2.207055032805665,4,6,15,4,29,2.4195505506348534,2.826016564392643,2.5035965015701462,2.2940559595157084,8,4,7,6,25,2.373951292938779,2.267544087811586,2.371547054278036,2.3451109063844604,4,4,4,10,22
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_340_grid0.cif,2.474522417788675,3.044592988141934,2.644477064425406,2.2590201241778924,4,4,2,10,20,2.2422730887979125,3.0030445932356256,2.2160038096944707,2.386051706529112,12,7,13,6,38,2.2498271107150254,2.9130298391446727,1.852959065443357,2.076938702485667,8,8,6,12,34,2.4906774375757923,2.919166024444307,2.399179808003279,2.7530754594041724,2,4,2,2,10
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_340_grid2.cif,2.213294844535224,3.0291399930393133,1.9931380660844593,2.254398589270174,8,9,8,10,35,2.2732516624503485,2.9281648308546386,2.4707951704551054,1.8047531813046789,14,6,6,14,40,2.424773714711354,2.8945510686218254,2.0906997604710353,2.244878102116798,2,2,2,8,14,2.378359331245631,2.6028793066816833,1.7615140766800141,2.2478023854610685,6,4,8,10,28
D:\New folder\project\results\5_layer\upper\r280\t7.2\t7.2_340_grid5.cif,2.474522417788675,3.044592988141934,2.644477064425406,2.2590201241778924,4,4,2,10,20,2.2422730887979125,3.0030445932356256,2.2160038096944707,2.386051706529112,12,7,13,6,38,2.2498271107150254,2.9130298391446727,1.852959065443357,2.076938702485667,8,8,6,12,34,2.4905118459071183,2.954493209135819,2.4549425101903366,2.3932637385056896,3,6,4,4,17
D:\New folder\project\results\5_layer\upper\r320\t6.0\t6.0_320_grid4.cif,2.395461076914876,2.6805416133249897,2.1538006623403887,2.1369249443135168,12,8,7,18,45,1.9344605790918652,2.9949205357133004,2.0379964079080923,2.1256832134302606,4,1,1,8,14,2.3959762584093935,2.7664490691463,2.2364996770584025,2.326162875754876,10,13,20,8,51,2.0723683495617973,3.0,2.458657881302718,2.470510694970735,4,0,5,2,11
D:\New folder\project\results\5_layer\upper\r320\t8.4\t8.4_80_grid0.cif,2.3569712043803652,2.6337748884385515,2.3557690539029683,2.401454926371221,5,10,12,13,40,2.4133875893989414,2.8230151097078764,1.9362804933396718,2.246408511251226,5,12,10,15,42,1.7810755802508083,2.9477113167444307,3.0,1.82732503824913,2,4,0,6,12,2.289307482313983,3.0,2.2173298854160532,3.0,6,0,7,0,13
