file_id,file_path,adjusted_energy,geometric_center_distance,X,Y,Z
r80_t0_t0_240.cif,d:\New folder\project\data\r80\t0\t0_240.cif,-0.2215099999999665,5.496504064452711,0.2372236832326845,-0.4616162967984085,5.471945928935045
r80_t1.2_t1.2_180.cif,d:\New folder\project\data\r80\t1.2\t1.2_180.cif,-0.10191999999995,7.018789759730302,0.6919373511010569,-1.182239719575676,6.883817374023212
r80_t1.2_t1.2_200.cif,d:\New folder\project\data\r80\t1.2\t1.2_200.cif,-0.1152700000000095,6.866356181062203,0.6717366046538495,-1.304943878231008,6.707662678895432
r80_t1.2_t1.2_220.cif,d:\New folder\project\data\r80\t1.2\t1.2_220.cif,-0.2998000000000047,6.3245758421579445,0.5906563562396002,-0.9401130756788428,6.226361060601874
r80_t1.2_t1.2_240.cif,d:\New folder\project\data\r80\t1.2\t1.2_240.cif,-0.2206599999999525,5.904986344449103,0.4668033280516763,-0.721576465480051,5.842113126730394
r80_t1.2_t1.2_280.cif,d:\New folder\project\data\r80\t1.2\t1.2_280.cif,-0.0515199999999822,5.566608018415478,0.386443143109129,-1.1341387570743695,5.436130591471588
r80_t2.4_t2.4_100.cif,d:\New folder\project\data\r80\t2.4\t2.4_100.cif,-0.4458199999999124,5.4326038292832335,1.199383540502538,-0.5604959183431372,5.268824139619307
r80_t2.4_t2.4_160.cif,d:\New folder\project\data\r80\t2.4\t2.4_160.cif,-0.085299999999961,6.791364933132001,0.8405175527528573,-1.4945788383595031,6.5713318280556585
r80_t2.4_t2.4_180.cif,d:\New folder\project\data\r80\t2.4\t2.4_180.cif,-0.1897900000000163,6.966045032809605,0.0905700560611004,-1.2386159819138312,6.854444610136119
r80_t2.4_t2.4_200.cif,d:\New folder\project\data\r80\t2.4\t2.4_200.cif,-0.2815399999999499,6.781401173534181,0.5735057808669151,-1.1708262476045967,6.654897361615965
