Relative_Path,Axis,COM_Before_X,COM_Before_Y,COM_Before_Z,Shift_X,Shift_Y,Shift_Z,COM_After_X,COM_After_Y,COM_After_Z
r0\t4.8\t4.8_160.cif,1,9.406005082514467,4.8799924448664,9.068438722567265,0.0,-4.8799924448664,0.0,9.367332662977654,8.594103964193073,9.068438722567265
r0\t4.8\t4.8_200.cif,1,9.136572127546971,5.2610938182457945,9.184721914947671,0.0,-5.2610938182457945,0.0,9.578097116051435,12.380390098538038,9.184721914947671
r0\t4.8\t4.8_20.cif,1,9.301022900715639,4.866140603464078,9.209434247585826,0.0,-4.866140603464078,0.0,9.843136294180475,9.445447118746678,9.209434247585826
r0\t4.8\t4.8_220.cif,1,8.905683547798718,5.607916506166066,8.54724890953803,0.0,-5.607916506166066,0.0,9.587009500112167,13.024305854013038,8.54724890953803
r0\t4.8\t4.8_180.cif,1,9.171983844551209,4.886240843633853,9.298899393236455,0.0,-4.886240843633853,0.0,9.473326646466884,9.453883026631193,9.298899393236455
r0\t4.8\t4.8_240.cif,1,9.365507147243383,5.434475178381835,8.454577486600911,0.0,-5.434475178381835,0.0,10.013047997301143,10.371510408725952,8.454577486600911
r0\t4.8\t4.8_260.cif,1,9.190278144541843,5.224363032386223,8.4214082715926,0.0,-5.224363032386223,0.0,9.700585462205387,9.632106147212633,8.4214082715926
r0\t4.8\t4.8_280.cif,1,9.28370330346354,5.180508108755754,8.384756361592675,0.0,-5.180508108755754,0.0,9.744718867605394,9.55767588414702,8.384756361592675
r0\t4.8\t4.8_300.cif,1,9.262386643892595,5.322841531413633,8.284752232678903,0.0,-5.322841531413633,0.0,9.701315538873182,9.817156508746255,8.284752232678903
r0\t4.8\t4.8_40.cif,1,9.297053827510366,4.7712271868462635,9.397234201073303,0.0,-4.7712271868462635,0.0,9.599242973777741,8.804537257345078,9.397234201073303
r0\t4.8\t4.8_60.cif,1,9.583462666164523,4.8161039765755564,8.30606429595974,0.0,-4.8161039765755564,0.0,9.706890454129978,5.925787893728698,8.30606429595974
r0\t4.8\t4.8_80.cif,1,9.77807575334053,5.057720399156682,8.398660119614773,0.0,-5.057720399156682,0.0,9.838964185298899,9.141888226619399,8.398660119614773
r0\t4.8\t4.8_340.cif,1,8.927433704826916,5.205029704807229,8.670391889381873,0.0,-5.205029704807229,0.0,9.64029941930136,11.172964308666813,8.670391889381873
r0\t4.8\t4.8_320.cif,1,9.482799136525282,5.2438879144611095,8.436127042680592,0.0,-5.2438879144611095,0.0,10.063091121277134,9.431515148955372,8.436127042680592
r0\t6.0\t6.0_0.cif,1,9.448664528640167,4.898672220721841,9.019795739260285,0.0,-4.898672220721841,0.0,9.64053983791021,10.21737499166871,9.019795739260285
r0\t6.0\t6.0_100.cif,1,9.232937754249066,5.308131784730409,8.060342479607822,0.0,-5.308131784730409,0.0,9.334653438537945,10.47990263160485,8.060342479607822
r0\t6.0\t6.0_20.cif,1,9.545763507839922,5.038206049299041,9.072009657780653,0.0,-5.038206049299041,0.0,9.747395894619595,10.780055424829968,9.072009657780653
r0\t6.0\t6.0_120.cif,1,9.164412402019321,5.183260783742002,8.341758079889784,0.0,-5.183260783742002,0.0,9.116595556272337,10.256227727491273,8.341758079889784
r0\t6.0\t6.0_160.cif,1,8.792822192274834,4.953066011697867,9.001669240592634,0.0,-4.953066011697867,0.0,9.290793357159403,9.12742316033879,9.001669240592634
r0\t6.0\t6.0_140.cif,1,8.309698311148432,4.662998869181721,8.512819965546534,0.0,-4.662998869181721,0.0,8.07820554698199,5.739514756908753,8.512819965546534
r0\t6.0\t6.0_220.cif,1,8.600925822292764,5.206285087242093,8.861041558833728,0.0,-5.206285087242093,0.0,9.179624213593588,11.631628461951635,8.861041558833728
r0\t6.0\t6.0_180.cif,1,8.642259454592432,4.840701644863002,9.41923280594257,0.0,-4.840701644863002,0.0,9.070650397631248,9.33060660334173,9.41923280594257
r0\t6.0\t6.0_260.cif,1,9.20668801622607,5.1279884036297,8.520432200910536,0.0,-5.1279884036297,0.0,9.310232127020607,9.51821904276518,8.520432200910536
r0\t6.0\t6.0_200.cif,1,8.854589540394569,5.124670548998353,9.25101879604283,0.0,-5.124670548998353,0.0,9.401723240001177,12.261530967535656,9.25101879604283
r0\t6.0\t6.0_320.cif,1,9.06309551998599,5.907020560903551,8.199305251558972,0.0,-5.907020560903551,0.0,9.569348232751551,12.442128622651426,8.199305251558972
r0\t6.0\t6.0_300.cif,1,9.266205088329333,5.17916487281837,8.409206417118806,0.0,-5.17916487281837,0.0,9.530554325108247,9.135064423537907,8.409206417118806
r0\t6.0\t6.0_240.cif,1,8.880868813391047,5.3653095876104615,8.485359557295281,0.0,-5.3653095876104615,0.0,9.150129027685963,10.335307431822432,8.485359557295281
r0\t6.0\t6.0_40.cif,1,9.366905349888262,4.842739318241746,9.291502545311275,0.0,-4.842739318241746,0.0,9.290479770857845,8.917518713636538,9.291502545311275
r0\t6.0\t6.0_60.cif,1,9.282734052373577,4.94463656449253,8.799783201610195,0.0,-4.94463656449253,0.0,9.173459520345322,9.088661581373353,8.799783201610195
r0\t6.0\t6.0_280.cif,1,9.183781919693779,5.071402311497868,8.483907945616382,0.0,-5.071402311497868,0.0,9.359362967617916,9.102559326099744,8.483907945616382
r0\t6.0\t6.0_340.cif,1,9.168168671189205,4.911290423617656,8.855616806982734,0.0,-4.911290423617656,0.0,9.713547980764053,10.261116701963157,8.855616806982733
r0\t6.0\t6.0_80.cif,1,9.29847630578945,5.219315525011427,8.171972551655163,0.0,-5.219315525011427,0.0,9.311179936020816,10.370287932845924,8.171972551655163
r0\t7.2\t7.2_120.cif,1,8.600833580775713,5.193418138452566,8.404296306470041,0.0,-5.193418138452566,0.0,8.778932245781931,10.647197818313833,8.404296306470041
r0\t7.2\t7.2_180.cif,1,8.74534310395301,4.765983446921486,9.525769543838678,0.0,-4.765983446921486,0.0,8.876267800939763,9.224647082400807,9.525769543838678
r0\t7.2\t7.2_100.cif,1,8.390193221203596,5.2638208903590655,8.13587790715322,0.0,-5.2638208903590655,0.0,8.602330649339933,10.414940703962209,8.13587790715322
r0\t7.2\t7.2_0.cif,1,9.759617506702257,5.393160422352403,8.625351125977888,0.0,-5.393160422352403,0.0,10.305897406132226,12.147845710026123,8.625351125977888
r0\t7.2\t7.2_160.cif,1,8.832834819638787,4.911561004675384,9.044594608750009,0.0,-4.911561004675384,0.0,8.95539943046355,8.607425571767207,9.044594608750009
r0\t7.2\t7.2_140.cif,1,8.777846607153466,4.939632514344428,8.763053599675102,0.0,-4.939632514344428,0.0,9.030331930060946,9.220411424049797,8.763053599675102
r0\t7.2\t7.2_20.cif,1,9.155691042742527,5.0914605500142684,9.036784124945338,0.0,-5.0914605500142684,0.0,9.690774720005905,11.293328940363596,9.036784124945338
r0\t7.2\t7.2_200.cif,1,8.55054774443529,4.98148593811638,9.44048015049615,0.0,-4.98148593811638,0.0,9.08153993234642,11.112906517739376,9.44048015049615
r0\t7.2\t7.2_220.cif,1,8.449041732431382,4.915843155052963,9.042570268824486,0.0,-4.915843155052963,0.0,8.622811101014568,8.641092933527323,9.042570268824486
r0\t7.2\t7.2_240.cif,1,8.747203499543781,4.954639007050394,8.750248477641835,0.0,-4.954639007050394,0.0,9.285056196786586,9.161467253456816,8.750248477641835
r0\t7.2\t7.2_320.cif,1,8.913356840083244,5.112935190128032,8.642675145696606,0.0,-5.112935190128032,0.0,9.30527212605302,9.674855613706926,8.642675145696606
r0\t7.2\t7.2_280.cif,1,8.780536711734747,4.928217294953785,8.569152398408828,0.0,-4.928217294953785,0.0,9.127980217006838,8.674438723175188,8.569152398408828
r0\t7.2\t7.2_300.cif,1,8.894251960152527,5.0585521295157125,8.546122283963259,0.0,-5.0585521295157125,0.0,9.343767982844483,9.008474647139186,8.546122283963259
r0\t7.2\t7.2_260.cif,1,8.743706588186114,5.055231873116741,8.647211938252632,0.0,-5.055231873116741,0.0,9.217110910554577,9.380899608267772,8.647211938252632
r0\t7.2\t7.2_340.cif,1,9.301579397412324,4.694770954708025,8.988972315597417,0.0,-4.694770954708025,0.0,9.577974290375318,8.337534887598254,8.988972315597417
r0\t7.2\t7.2_40.cif,1,8.997645896719343,4.916992591129165,9.240044656671243,0.0,-4.916992591129165,0.0,9.287470722071557,9.796727105494007,9.240044656671243
r0\t8.4\t8.4_0.cif,1,9.678893414070634,5.075641981987568,8.718029729309922,0.0,-5.075641981987568,0.0,10.042194684397609,10.07707702635206,8.718029729309922
r0\t7.2\t7.2_60.cif,1,8.976503017490282,5.03655732170979,8.78088486951645,0.0,-5.03655732170979,0.0,9.323361108951959,9.974610721013693,8.78088486951645
r0\t7.2\t7.2_80.cif,1,8.853184427339151,5.1518163976772,8.381703269111679,0.0,-5.1518163976772,0.0,9.122345708226973,10.154336355195104,8.381703269111679
